,Date,Country,City,Street,Latitude,Longitude
40203,30 abr 2025,MX,Zapopan,Prol. Mariano Otero,20.628973,-103.455972
40204,30 abr 2025,MX,Zapopan,Prol. Ángel Leaño,20.744233,-103.416905
40205,30 abr 2025,MX,Zapopan,Prol. Ángel Leaño,20.742985,-103.418105
40206,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.691963,-103.375954
40207,30 abr 2025,MX,Zapopan,22 de Junio,20.737994,-103.330475
40208,30 abr 2025,MX,Guadalajara,,20.6542,-103.346212
40209,30 abr 2025,MX,Tlaquepaque,Prolongación Av. Colón,20.585224,-103.422752
40210,30 abr 2025,MX,Tlaquepaque,Prolongación Av. Colón,20.58717,-103.420147
40211,30 abr 2025,MX,Guadalajara,,20.706842,-103.35377
40212,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.694481,-103.374007
40213,30 abr 2025,MX,Zapopan,Prolongación Fray Antonio Alcalde,20.726314,-103.345214
40214,30 abr 2025,MX,Zapopan,,20.720724,-103.424005
40215,30 abr 2025,MX,Zapopan,Prolongación Fray Antonio Alcalde,20.72327,-103.345368
40216,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.676385,-103.385964
40217,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.677857,-103.384985
40218,30 abr 2025,MX,Zapopan,Prolongación Fray Antonio Alcalde,20.724667,-103.345424
40219,30 abr 2025,MX,Tlaquepaque,,20.604839,-103.398968
40220,30 abr 2025,MX,Tlaquepaque,Adolf B. Horn Jr.,20.576882,-103.362954
40221,30 abr 2025,MX,Zapopan,Prolongación Fray Antonio Alcalde,20.719192,-103.345435
40222,30 abr 2025,MX,Zapopan,Prolongación Fray Antonio Alcalde,20.716796,-103.345691
40223,30 abr 2025,MX,Guadalajara,,20.695969,-103.395984
40224,30 abr 2025,MX,Zapopan,Prolongación Fray Antonio Alcalde,20.717964,-103.345575
40225,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,20.693809,-103.374731
40226,30 abr 2025,MX,Zapopan,,20.728455,-103.343851
40227,30 abr 2025,MX,Zapopan,Puerto Guaymas,20.642799,-103.450729
40228,30 abr 2025,MX,Tlaquepaque,Puerto Vallarta / Chapala / Calz. Lázaro Cárdenas,20.629287,-103.295282
40229,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.627405,-103.418378
40230,30 abr 2025,MX,Guadalajara,Pípila,20.682314,-103.338461
40231,30 abr 2025,MX,Tlaquepaque,Adolf B. Horn Jr.,20.573104,-103.364092
40232,30 abr 2025,MX,Zapopan,,20.72083,-103.425546
40233,30 abr 2025,MX,Guadalajara,Ramón Corona,20.672724,-103.346375
40234,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.643109,-103.408279
40235,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.643892,-103.407763
40236,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.645562,-103.406664
40237,30 abr 2025,MX,Guadalajara,,20.630105,-103.33524
40238,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.627365,-103.418405
40239,30 abr 2025,MX,Zapopan,Ramón Corona,20.719387,-103.351621
